K,skew,B,load,capfam,policy,W,p99_mean,p99_std,recomp_mean,recomp_std,hit_mean
16,2.0,4,1.0,5,bounded,2,7.819,2.971,105813,12799,0.8708
16,2.0,4,1.0,5,bounded,4,7.435,2.914,104192,12221,0.8728
16,2.0,4,1.0,5,bounded,8,7.039,2.621,101803,11302,0.8757
16,2.0,4,1.0,5,bounded,16,6.546,2.057,95915,10268,0.8829
16,2.0,4,1.0,5,bounded,32,6.820,1.756,91733,9366,0.8880
16,2.0,4,1.0,5,greedy,0,6.807,1.864,90368,10056,0.8897
16,2.0,4,1.0,5,vtc,0,23.039,11.498,115456,15895,0.8591
16,2.0,4,1.0,6,bounded,1,5.594,2.000,85504,12711,0.8956
16,2.0,4,1.0,6,bounded,2,5.497,2.051,84565,12520,0.8968
16,2.0,4,1.0,6,bounded,4,5.275,2.264,83712,12574,0.8978
16,2.0,4,1.0,6,bounded,8,4.933,1.636,81749,11508,0.9002
16,2.0,4,1.0,6,bounded,16,5.008,1.469,78592,10737,0.9041
16,2.0,4,1.0,6,bounded,32,5.479,1.634,77141,9957,0.9058
16,2.0,4,1.0,6,greedy,0,5.517,1.866,76971,9785,0.9060
16,2.0,4,1.0,6,vtc,0,12.248,6.501,88576,13805,0.8919
16,2.0,4,1.0,8,bounded,1,3.283,1.393,57088,10330,0.9303
16,2.0,4,1.0,8,bounded,2,3.304,1.432,57344,10576,0.9300
16,2.0,4,1.0,8,bounded,4,3.351,1.399,56832,10037,0.9306
16,2.0,4,1.0,8,bounded,8,3.605,1.358,56235,9272,0.9314
16,2.0,4,1.0,8,bounded,16,3.961,1.428,55552,8972,0.9322
16,2.0,4,1.0,8,bounded,32,4.286,1.758,55125,8747,0.9327
16,2.0,4,1.0,8,greedy,0,4.392,2.054,55125,8747,0.9327
16,2.0,4,1.0,8,vtc,0,5.996,3.179,57600,10826,0.9297
16,2.0,4,1.4,5,bounded,1,28.849,6.668,106667,14151,0.8698
16,2.0,4,1.4,5,bounded,2,26.834,6.243,100864,11437,0.8769
16,2.0,4,1.4,5,bounded,4,24.391,5.691,93611,10796,0.8857
16,2.0,4,1.4,5,bounded,8,22.499,4.682,88149,8897,0.8924
16,2.0,4,1.4,5,bounded,16,20.518,3.565,81749,7661,0.9002
16,2.0,4,1.4,5,bounded,32,18.944,3.353,73131,6381,0.9107
16,2.0,4,1.4,5,greedy,0,25.662,6.713,49920,7016,0.9391
16,2.0,4,1.4,5,vtc,0,54.869,11.527,117675,17508,0.8564
16,2.0,4,1.4,6,bounded,1,21.143,6.455,84309,13082,0.8971
16,2.0,4,1.4,6,bounded,2,20.147,5.541,81493,11479,0.9005
16,2.0,4,1.4,6,bounded,4,20.205,5.672,81408,10905,0.9006
16,2.0,4,1.4,6,bounded,8,18.996,4.806,78165,9037,0.9046
16,2.0,4,1.4,6,bounded,16,18.527,3.859,75776,7799,0.9075
16,2.0,4,1.4,6,bounded,32,17.284,4.002,67840,7486,0.9172
16,2.0,4,1.4,6,greedy,0,24.351,9.635,45653,6727,0.9443
16,2.0,4,1.4,6,vtc,0,40.544,11.951,90197,14330,0.8899
16,2.0,4,1.4,8,bounded,1,11.763,5.165,56832,10711,0.9306
16,2.0,4,1.4,8,bounded,2,11.554,4.794,56235,9804,0.9314
16,2.0,4,1.4,8,bounded,4,11.990,4.610,57003,9057,0.9304
16,2.0,4,1.4,8,bounded,8,11.830,4.423,56576,7839,0.9309
16,2.0,4,1.4,8,bounded,16,12.269,4.679,55808,8387,0.9319
16,2.0,4,1.4,8,bounded,32,12.899,4.303,51968,9079,0.9366
16,2.0,4,1.4,8,greedy,0,21.871,11.567,39168,5396,0.9522
16,2.0,4,1.4,8,vtc,0,21.667,9.920,58624,11658,0.9284
