seed,frac,L,rank,answer_score,top_distractor_score,bp_idf_mean,lennorm_answer,answer_len,n_docs_with_bp
9,0.25,128,17,16.821638,25.151214,5.350111,2.889592,178,9
9,0.25,256,22,11.876706,25.230464,5.350111,4.736628,306,9
9,0.25,512,22,7.576945,25.385152,5.350111,8.308657,562,9
9,0.25,1024,35,4.516302,25.680113,5.350111,15.000586,1074,9
9,1.0,0,1,29.433376,25.070652,0.000000,1.000000,50,31
9,1.0,8,1,28.108822,24.009599,4.151415,1.117848,58,31
9,1.0,16,1,26.906155,23.039328,4.151415,1.235114,66,31
9,1.0,32,1,24.803848,21.328206,4.151415,1.467918,82,31
9,1.0,64,1,21.502836,18.604961,4.151415,1.926734,114,31
9,1.0,128,1,17.097617,14.907153,4.151415,2.818098,178,31
9,1.0,256,1,12.335913,10.836935,4.151415,4.502520,306,31
9,1.0,512,1,8.230129,7.273231,4.151415,7.525269,562,31
9,1.0,1024,1,5.327289,5.137387,4.151415,12.478261,1074,31
10,0.0,0,1,31.847585,25.793832,0.000000,1.000000,50,1
10,0.0,8,1,30.476919,25.794412,7.195937,1.119930,58,1
10,0.0,16,1,29.219560,25.794993,7.195937,1.239842,66,1
10,0.0,32,1,26.992854,25.796153,7.195937,1.479607,82,1
10,0.0,64,6,23.424406,25.798473,7.195937,1.958906,114,1
10,0.0,128,13,18.529827,25.803109,7.195937,2.916587,178,1
10,0.0,256,16,13.075842,25.812369,7.195937,4.828280,306,1
10,0.0,512,25,8.242349,25.830839,7.195937,8.637058,562,1
10,0.0,1024,34,4.754247,25.867575,7.195937,16.196706,1074,1
10,0.25,0,1,31.847585,25.793832,0.000000,1.000000,50,9
10,0.25,8,1,30.483005,25.799053,5.350111,1.119374,58,9
10,0.25,16,1,29.232284,25.804268,5.350111,1.238576,66,9
10,0.25,32,1,27.019809,25.814682,5.350111,1.476468,82,9
10,0.25,64,4,23.480747,25.835446,5.350111,1.950207,114,9
10,0.25,128,8,18.639612,25.876718,5.350111,2.889592,178,9
10,0.25,256,10,13.262999,25.958253,5.350111,4.736628,306,9
10,0.25,512,18,8.513698,26.117403,5.350111,8.308657,562,9
10,0.25,1024,24,5.095434,26.420873,5.350111,15.000586,1074,9
10,1.0,0,1,31.847585,25.793832,0.000000,1.000000,50,31
10,1.0,8,1,30.499714,24.702171,4.151415,1.117848,58,31
10,1.0,16,1,29.267166,23.703913,4.151415,1.235114,66,31
10,1.0,32,1,27.093505,21.943432,4.151415,1.467918,82,31
10,1.0,64,1,23.634131,19.141634,4.151415,1.926734,114,31
10,1.0,128,1,18.936756,15.337160,4.151415,2.818098,178,31
10,1.0,256,1,13.766303,11.149533,4.151415,4.502520,306,31
10,1.0,512,1,9.239282,7.483032,4.151415,7.525269,562,31
10,1.0,1024,1,6.004053,5.545322,4.151415,12.478261,1074,31
11,0.0,0,1,28.834115,25.812780,0.000000,1.000000,50,1
11,0.0,8,1,27.422009,25.813361,7.195937,1.119930,58,1
