regime,sigma,seed,b,q_router,q_conf,q_rand,q_oracle,q_allquant,q_allfull,auc
request_dependent,0.05,5,0.1,0.8297241821501496,0.8300267929318413,0.7740246498929919,0.8323484769844117,0.7443901488616465,1.0012795107433425,0.9939035714285714
request_dependent,0.05,5,0.2,0.8902855149244906,0.8908426409434849,0.7958227091794947,0.8930313187102522,0.7443901488616465,1.0012795107433425,0.9939035714285714
request_dependent,0.05,5,0.3,0.9324570978043968,0.9321916344951372,0.820190941179649,0.9342524339757164,0.7443901488616465,1.0012795107433425,0.9939035714285714
request_dependent,0.05,5,0.5,0.977225021801008,0.9769931437742676,0.870415988148798,0.9781814334520044,0.7443901488616465,1.0012795107433425,0.9939035714285714
request_dependent,0.15,1,0.05,0.7666863930692932,0.7681254396878551,0.7424075563273852,0.7757117534330144,0.7275578183522429,0.9963887505684015,0.9623702380952381
request_dependent,0.15,1,0.1,0.8019516074136775,0.8040614514757665,0.755604750531631,0.817074893720016,0.7275578183522429,0.9963887505684015,0.9623702380952381
request_dependent,0.15,1,0.2,0.8654363367385971,0.8646671002347389,0.7841686221791169,0.8822245791008726,0.7275578183522429,0.9963887505684015,0.9623702380952381
request_dependent,0.15,1,0.3,0.9147147972278598,0.910953454206596,0.807411763289091,0.9269231820763965,0.7275578183522429,0.9963887505684015,0.9623702380952381
request_dependent,0.15,1,0.5,0.9660777073461773,0.966535497390559,0.8605237152268559,0.9737794610654256,0.7275578183522429,0.9963887505684015,0.9623702380952381
request_dependent,0.15,2,0.05,0.7655933560419876,0.7645854880765567,0.7395099126666521,0.772919840792281,0.7256472819031295,0.9973854551681046,0.951120238095238
request_dependent,0.15,2,0.1,0.8003329025659579,0.7975684973080074,0.7512074732197594,0.8135412503953608,0.7256472819031295,0.9973854551681046,0.951120238095238
request_dependent,0.15,2,0.2,0.8616287300943792,0.8578728922196079,0.7798355662782481,0.8778444113327024,0.7256472819031295,0.9973854551681046,0.951120238095238
request_dependent,0.15,2,0.3,0.9079218989358522,0.9066831752020058,0.8039995227555338,0.9233213041870149,0.7256472819031295,0.9973854551681046,0.951120238095238
request_dependent,0.15,2,0.5,0.9652099639827866,0.9632302131664222,0.8599319142302636,0.9731090532905694,0.7256472819031295,0.9973854551681046,0.951120238095238
request_dependent,0.15,3,0.05,0.7761768952791661,0.775711981013694,0.7478021892827874,0.7825402944323098,0.7352438142443464,0.9979956119283011,0.9555392857142857
request_dependent,0.15,3,0.1,0.811538381576763,0.8120168627134972,0.758611219670249,0.8228264780317903,0.7352438142443464,0.9979956119283011,0.9555392857142857
request_dependent,0.15,3,0.2,0.8716808009552824,0.8708796935574139,0.786062033068589,0.8867458538794243,0.7352438142443464,0.9979956119283011,0.9555392857142857
request_dependent,0.15,3,0.3,0.9157330368783871,0.9146252488505433,0.8157090693827754,0.9296341814382891,0.7352438142443464,0.9979956119283011,0.9555392857142857
request_dependent,0.15,3,0.5,0.9683624697205678,0.9677097214990206,0.8643742497815512,0.975939916194036,0.7352438142443464,0.9979956119283011,0.9555392857142857
