g,pandas,duckdb,polars
1068,warn,warn,warn
1069,warn,warn,warn
1070,warn,warn,warn
1071,warn,warn,warn
1072,warn,warn,warn
1073,warn,warn,warn
1074,warn,warn,warn
1075,warn,warn,warn
1076,warn,warn,warn
1077,warn,warn,warn
1078,warn,warn,warn
1079,warn,warn,warn
1080,warn,warn,warn
1081,warn,warn,warn
1082,warn,warn,warn
1083,warn,warn,warn
1084,warn,warn,warn
1085,warn,warn,warn
1086,warn,warn,warn
1087,warn,warn,warn
1088,warn,warn,warn
1089,warn,warn,warn
1090,warn,warn,warn
1091,warn,warn,warn
1092,warn,warn,warn
1093,warn,warn,warn
1094,warn,warn,warn
1095,warn,warn,warn
1096,warn,warn,warn
1097,warn,warn,warn
1098,warn,warn,warn
1099,warn,warn,warn
1100,warn,warn,warn
1101,warn,warn,warn
1102,warn,warn,warn
1103,warn,warn,warn
1104,warn,warn,warn
1105,warn,warn,warn
1106,warn,warn,warn
1107,warn,warn,warn
1108,warn,warn,warn
1109,warn,warn,warn
1110,warn,warn,warn
1111,warn,warn,warn
1112,warn,warn,warn
1113,warn,warn,warn
1114,warn,warn,warn
1115,warn,warn,warn
1116,warn,warn,warn
1117,warn,warn,warn
1118,warn,warn,warn
1119,warn,warn,warn
1120,warn,warn,warn
1121,warn,warn,warn
1122,warn,warn,warn
1123,warn,warn,warn
1124,warn,warn,warn
1125,warn,warn,warn
1126,warn,warn,warn
1127,warn,warn,warn
1128,warn,warn,warn
1129,warn,warn,warn
1130,warn,warn,warn
1131,warn,warn,warn
1132,warn,warn,warn
1133,warn,warn,warn
1134,warn,warn,warn
1135,warn,warn,warn
1136,warn,warn,warn
1137,warn,warn,warn
1138,warn,warn,warn
1139,warn,warn,warn
1140,warn,warn,warn
1141,warn,warn,warn
1142,warn,warn,warn
1143,warn,warn,warn
1144,warn,warn,warn
1145,warn,warn,warn
1146,warn,warn,warn
1147,warn,warn,warn
1148,warn,warn,warn
1149,warn,warn,warn
1150,warn,warn,warn
1151,warn,warn,warn
1152,warn,warn,warn
1153,warn,warn,warn
1154,warn,warn,warn
1155,warn,warn,warn
1156,warn,warn,warn
1157,warn,warn,warn
1158,warn,warn,warn
1159,warn,warn,warn
1160,warn,warn,warn
1161,warn,warn,warn
1162,warn,warn,warn
1163,warn,warn,warn
1164,warn,warn,warn
1165,warn,warn,warn
1166,warn,warn,warn
1167,warn,warn,warn
1168,warn,warn,warn
1169,warn,warn,warn
1170,warn,warn,warn
1171,warn,warn,warn
1172,warn,warn,warn
1173,warn,warn,warn
1174,warn,warn,warn
1175,warn,warn,warn
1176,warn,warn,warn
1177,warn,warn,warn
1178,warn,warn,warn
1179,warn,warn,warn
1180,warn,warn,warn
1181,warn,warn,warn
1182,warn,warn,warn
1183,warn,warn,warn
1184,warn,warn,warn
1185,warn,warn,warn
1186,warn,warn,warn
1187,warn,warn,warn
1188,warn,warn,warn
1189,warn,warn,warn
1190,warn,warn,warn
1191,warn,warn,warn
1192,warn,warn,warn
1193,warn,warn,warn
1194,warn,warn,warn
1195,warn,warn,warn
1196,warn,warn,warn
1197,warn,warn,warn
1198,warn,warn,warn
1199,warn,warn,warn
1200,warn,warn,warn
1201,warn,warn,warn
1202,warn,warn,warn
1203,warn,warn,warn
1204,warn,warn,warn
1205,warn,warn,warn
1206,warn,warn,warn
1207,warn,warn,warn
1208,warn,warn,warn
1209,warn,warn,warn
1210,warn,warn,warn
1211,warn,warn,warn
1212,warn,warn,warn
1213,warn,warn,warn
1214,warn,warn,warn
1215,warn,warn,warn
1216,warn,warn,warn
1217,warn,warn,warn
1218,warn,warn,warn
1219,warn,warn,warn
1220,warn,warn,warn
1221,warn,warn,warn
1222,warn,warn,warn
1223,warn,warn,warn
1224,warn,warn,warn
1225,warn,warn,warn
1226,warn,warn,warn
1227,warn,warn,warn
1228,warn,warn,warn
1229,warn,warn,warn
1230,warn,warn,warn
1231,warn,warn,warn
1232,warn,warn,warn
1233,warn,warn,warn
1234,warn,warn,warn
1235,warn,warn,warn
1236,warn,warn,warn
1237,warn,warn,warn
1238,warn,warn,warn
1239,warn,warn,warn
1240,warn,warn,warn
1241,warn,warn,warn
1242,warn,warn,warn
1243,warn,warn,warn
