item,in_degree,density_kth,denom,num_miss,miss_rate
1526,12,9.332524,4,0,0.000000
1530,18,2.010495,6,0,0.000000
1532,20,4.507818,3,0,0.000000
1535,22,13.143144,3,0,0.000000
1536,12,0.783966,4,0,0.000000
1544,8,0.812271,2,2,1.000000
1545,6,1.638402,2,0,0.000000
1546,10,2.246941,2,0,0.000000
1547,15,2.995887,6,2,0.333333
1550,7,9.475549,2,0,0.000000
1552,21,0.892317,3,0,0.000000
1556,7,5.859613,2,1,0.500000
1557,13,6.186385,3,0,0.000000
1559,12,13.520675,2,0,0.000000
1560,15,0.771719,2,0,0.000000
1565,12,7.178705,3,0,0.000000
1573,16,6.256428,2,0,0.000000
1575,13,12.741758,5,0,0.000000
1581,15,5.520000,5,0,0.000000
1583,12,13.491950,2,1,0.500000
1589,9,6.793900,2,0,0.000000
1591,12,12.601464,5,2,0.400000
1593,11,1.337654,4,0,0.000000
1595,9,3.485701,2,1,0.500000
1597,12,6.455580,6,0,0.000000
1599,23,12.094224,4,0,0.000000
1600,11,0.842771,3,0,0.000000
1604,11,5.082894,6,1,0.166667
1605,9,8.022689,4,0,0.000000
1610,9,1.999067,4,1,0.250000
1612,9,5.181628,4,1,0.250000
1613,11,6.432972,2,0,0.000000
1618,18,1.880081,2,1,0.500000
1620,12,5.080277,3,0,0.000000
1624,7,0.969271,2,0,0.000000
1627,12,3.172669,5,3,0.600000
1628,9,4.524757,3,2,0.666667
1629,7,8.015408,2,0,0.000000
1631,7,15.824928,3,0,0.000000
1633,13,1.236967,2,0,0.000000
1634,11,2.073837,4,0,0.000000
1641,11,1.243398,3,0,0.000000
1642,17,1.892978,4,0,0.000000
1644,7,4.966155,2,0,0.000000
1646,6,9.730384,4,1,0.250000
1650,17,2.427810,3,0,0.000000
1651,17,3.477346,2,1,0.500000
1652,8,6.131622,2,0,0.000000
1653,12,7.779910,4,0,0.000000
1654,9,9.178557,2,0,0.000000
1656,12,0.940667,3,0,0.000000
1681,13,1.392308,5,0,0.000000
1684,14,5.436935,4,4,1.000000
1688,11,0.973898,2,0,0.000000
1700,10,5.430442,2,1,0.500000
1701,15,5.525701,3,1,0.333333
1705,11,1.261648,2,0,0.000000
1709,15,7.269876,2,0,0.000000
1712,9,0.719272,3,0,0.000000
1713,10,1.521475,2,0,0.000000
1714,14,2.284229,2,0,0.000000
1716,10,5.020543,2,0,0.000000
1723,15,3.502344,3,1,0.333333
1726,14,9.696229,2,0,0.000000
1727,9,14.690917,2,0,0.000000
1730,11,2.229774,3,0,0.000000
1737,18,1.358543,2,0,0.000000
1745,11,1.365004,5,0,0.000000
1749,11,6.451469,2,0,0.000000
1750,9,10.026159,3,0,0.000000
1756,15,5.120056,2,0,0.000000
1758,4,11.567322,2,0,0.000000
1770,6,2.287052,3,0,0.000000
1771,12,3.060152,4,2,0.500000
1775,14,12.657706,3,0,0.000000
1777,10,1.379101,5,0,0.000000
1782,11,9.056352,3,0,0.000000
1784,13,0.695279,3,0,0.000000
1785,10,1.295786,5,1,0.200000
1788,9,4.864735,3,3,1.000000
1789,7,8.111888,4,0,0.000000
1790,8,8.801501,3,2,0.666667
1793,13,1.370562,6,1,0.166667
1795,15,3.123427,2,1,0.500000
1796,13,4.588829,3,1,0.333333
1803,21,2.923288,2,1,0.500000
1804,6,4.727030,3,0,0.000000
1805,17,6.564664,3,0,0.000000
1806,13,8.334040,3,0,0.000000
1811,5,3.676826,2,1,0.500000
1813,15,7.412474,2,1,0.500000
1815,11,11.935711,3,1,0.333333
1822,10,10.215713,2,0,0.000000
1823,13,13.213467,2,0,0.000000
1827,11,3.331424,5,4,0.800000
1829,22,8.318161,2,0,0.000000
1832,14,1.006828,2,1,0.500000
1833,11,1.279122,2,0,0.000000
1834,14,2.270550,2,1,0.500000
1836,9,5.039614,2,0,0.000000
1837,9,8.051105,2,0,0.000000
1838,9,9.158400,4,0,0.000000
1842,15,2.065320,2,0,0.000000
1844,14,4.666040,2,2,1.000000
1850,15,2.346944,2,0,0.000000
1853,12,7.277002,2,0,0.000000
1862,19,9.174140,2,0,0.000000
1871,14,12.742706,3,0,0.000000
1877,7,6.488041,3,0,0.000000
1880,5,1.004119,2,2,1.000000
