img,variant,klass,pixel_identical,max_abs_diff,vllm_prod_hit,vllm_prod_sha_hit,vllm_pil_hit,sglang_hit
img_0032.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0032.png,Y2_jpeg_q95,lossy,0,6,0,0,0,0
img_0032.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0033.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0033.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0033.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0033.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0033.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0033.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0033.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0033.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0033.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0034.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0034.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0034.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0034.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0034.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0034.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0034.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0034.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0034.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0035.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0035.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0035.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0035.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0035.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0035.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0035.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0035.png,Y2_jpeg_q95,lossy,0,6,0,0,0,0
img_0035.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0036.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0036.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0036.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0036.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0036.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0036.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0036.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0036.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0036.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0037.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0037.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0037.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0037.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0037.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0037.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0037.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0037.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0037.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0038.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0038.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0038.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0038.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0038.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0038.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0038.png,Y1_jpeg_q90,lossy,0,5,0,0,0,0
