band,source,original,parsed,survived,zod_passed
above,rand_above,4408368740784187060,4408368740784186880,0,1
above,rand_above,8704264250622896068,8704264250622896128,0,1
above,rand_above,2763222801154104700,2763222801154104832,0,1
above,rand_above,3605999139879632637,3605999139879632384,0,1
above,rand_above,8232948858326061205,8232948858326061056,0,1
above,rand_above,7717243665849254577,7717243665849254912,0,1
above,rand_above,4973215704116689549,4973215704116689920,0,1
above,rand_above,6784810456891338719,6784810456891338752,0,1
above,rand_above,7386488885469991841,7386488885469991936,0,1
above,rand_above,8289855275547935477,8289855275547935744,0,1
above,rand_above,4512129347468212556,4512129347468212736,0,1
above,rand_above,2526391139878831167,2526391139878831104,0,1
above,rand_above,4488264049080070750,4488264049080070656,0,1
above,rand_above,3595581856800451514,3595581856800451584,0,1
above,rand_above,6178277449915995630,6178277449915995136,0,1
above,rand_above,7370570818119286291,7370570818119286784,0,1
above,rand_above,6688401522092493855,6688401522092493824,0,1
above,rand_above,7761303614533951250,7761303614533951488,0,1
above,rand_above,8490281684768842108,8490281684768841728,0,1
above,rand_above,9054570884843190019,9054570884843190272,0,1
above,rand_above,4935428209057217401,4935428209057217536,0,1
above,rand_above,8373949538727577081,8373949538727576576,0,1
above,rand_above,5468254489244762854,5468254489244763136,0,1
above,rand_above,6124100630345416246,6124100630345416704,0,1
above,rand_above,783285830271641855,783285830271641856,0,1
above,rand_above,3962262231316118974,3962262231316119040,0,1
above,rand_above,8004299725710635912,8004299725710636032,0,1
above,rand_above,1685161619211017885,1685161619211017984,0,1
above,rand_above,2408525653023355947,2408525653023355904,0,1
