K,skew,lname,lam,B,regime,cap_blocks,W,fcfs_recomp_mean,fcfs_recomp_std,pfa_recomp_mean,pfa_recomp_std,delta_mean,ci_lo,ci_hi,fcfs_hit,pfa_hit,fcfs_p99,pfa_p99,fair_ratio,fcfs_mean_wait,pfa_mean_wait
8,1.0,heavy,25.6,16,all,1024,1000000000,16384,0.0,16384,0.0,0,0.0,0.0,0.9733333333333334,0.9733333333333334,6.609691284205594,12.904337944212989,1.9523359547894432,3.1211765149671273,3.1211765149671273
16,0.0,light,2.4,4,one,128,1000000000,501077.3333333333,15671.624066729295,494250.6666666667,16111.511854019853,-6826.666666666667,-9216.0,-4778.666666666667,0.18444444444444447,0.19555555555555554,0.7892104137290398,0.9448827342222467,1.1972507176605174,0.09131950205833847,0.09131950205833848
16,0.0,light,2.4,4,few,1024,1000000000,315733.3333333333,14501.646190078636,308565.3333333333,18757.81176529454,-7168,-12970.666666666666,-1706.6666666666667,0.4861111111111111,0.49777777777777776,0.7892104137290398,1.0024406159107582,1.2701816885235968,0.09131950205833847,0.09131950205833848
16,0.0,light,2.4,4,all,2048,1000000000,32768,0.0,32768,0.0,0,0.0,0.0,0.9466666666666667,0.9466666666666667,0.7892104137290398,0.760367955790958,0.9634540327441949,0.09131950205833847,0.09131950205833848
16,0.0,light,9.6,16,one,128,1000000000,297984,21633.640963400805,298325.3333333333,21663.24108304716,341.3333333333333,0.0,1024.0,0.515,0.5144444444444445,0.07490934556700542,0.07161103334550933,0.9559692826505101,0.0026127343441787877,0.0026127343441787877
16,0.0,light,9.6,16,few,1024,1000000000,273408,16794.84873406129,273749.3333333333,16957.088219646936,341.3333333333333,0.0,1024.0,0.5549999999999999,0.5544444444444444,0.07490934556700542,0.07161103334550933,0.9559692826505101,0.0026127343441787877,0.0026127343441787877
16,0.0,light,9.6,16,all,2048,1000000000,32768,0.0,32768,0.0,0,0.0,0.0,0.9466666666666667,0.9466666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
16,0.0,heavy,6.4,4,one,128,1000000000,471722.6666666667,12382.451812500176,106496,12116.131395788014,-365226.6666666667,-376490.6666666667,-353962.6666666667,0.23222222222222222,0.8266666666666667,26.690634437630035,38.362763290276845,1.4373117799024946,12.821459820740374,12.821459820740369
16,0.0,heavy,6.4,4,few,1024,1000000000,315733.3333333333,14501.646190078636,54272,6449.30342491859,-261461.33333333334,-269653.3333333333,-252245.33333333334,0.4861111111111111,0.9116666666666666,26.690634437630035,47.05866139410875,1.7631151295438174,12.821459820740374,12.82145982074037
16,0.0,heavy,6.4,4,all,2048,1000000000,32768,0.0,32768,0.0,0,0.0,0.0,0.9466666666666667,0.9466666666666667,26.690634437630035,59.14381326720862,2.215901364406092,12.821459820740374,12.82145982074037
16,0.0,heavy,25.6,16,one,128,1000000000,201728,4541.144642781891,46762.666666666664,13135.791039074205,-154965.33333333334,-163840.0,-144725.33333333334,0.6716666666666666,0.9238888888888889,6.609691284205594,12.853068025559166,1.9445791751685346,3.1211765149671273,3.1211765149671273
