M,B,Dmean,Wmean,wait_dist,rho,seed,policy,util,ceiling,residual_idle,throughput,p50,p99,nbursts
4,4,8,50,lognormal-heavytail,0.5,4,serial,0.12600,0.18969,0.06369,0.50400,8,45,295
4,4,8,50,lognormal-heavytail,0.5,4,cb,0.13144,0.13144,0.00000,0.52575,4,34,311
4,4,8,50,lognormal-heavytail,0.5,4,stepaware,0.13144,0.13144,0.00000,0.52575,4,34,311
4,4,8,50,lognormal-heavytail,0.9,0,serial,0.10687,0.15425,0.04738,0.42750,8,65,209
4,4,8,50,lognormal-heavytail,0.9,0,cb,0.11369,0.11369,0.00000,0.45475,6,40,220
4,4,8,50,lognormal-heavytail,0.9,0,stepaware,0.11369,0.11369,0.00000,0.45475,6,40,220
4,4,8,50,lognormal-heavytail,0.9,1,serial,0.07988,0.10031,0.02044,0.31950,8,34,171
4,4,8,50,lognormal-heavytail,0.9,1,cb,0.08306,0.08306,0.00000,0.33225,5,31,175
4,4,8,50,lognormal-heavytail,0.9,1,stepaware,0.08306,0.08306,0.00000,0.33225,5,31,175
4,4,8,50,lognormal-heavytail,0.9,2,serial,0.18238,0.34781,0.16544,0.72950,11,82,371
4,4,8,50,lognormal-heavytail,0.9,2,cb,0.22962,0.22962,0.00000,0.91850,6,40,450
4,4,8,50,lognormal-heavytail,0.9,2,stepaware,0.22962,0.22962,0.00000,0.91850,6,40,450
4,4,8,50,lognormal-heavytail,0.9,3,serial,0.17881,0.33106,0.15225,0.71525,11,52,386
4,4,8,50,lognormal-heavytail,0.9,3,cb,0.21538,0.21538,0.00000,0.86150,5,32,454
4,4,8,50,lognormal-heavytail,0.9,3,stepaware,0.21538,0.21538,0.00000,0.86150,5,32,454
4,4,8,50,lognormal-heavytail,0.9,4,serial,0.03537,0.04194,0.00656,0.14150,8,76,59
4,4,8,50,lognormal-heavytail,0.9,4,cb,0.03544,0.03544,0.00000,0.14175,8,56,59
4,4,8,50,lognormal-heavytail,0.9,4,stepaware,0.03544,0.03544,0.00000,0.14175,8,56,59
