frac,sigma,rho,seed,fail_rate,auc_mon,auc_conf,auc_diff,auc_oracle,d_mon_conf,d_mon_diff,med_lead_mon,med_lead_conf,frac_mon_early,n_fail
0.8,0.8,0.0,5,0.4675,0.8057292058949059,0.8224749566920238,0.6291832994401345,0.8994250709246566,-0.01674575079711782,0.17654590645477142,2,2.0,0.49732620320855614,187
0.8,0.8,0.0,6,0.49,0.8180522208883554,0.8168017206882753,0.6803971588635455,0.9135404161664666,0.0012505002000801069,0.13765506202480993,2,2.0,0.5153061224489796,196
0.8,0.8,0.0,7,0.4725,0.8413701446876802,0.8518518518518519,0.6819127861781891,0.9485192707941523,-0.010481707164171628,0.15945735850949116,2,1.0,0.4656084656084656,189
0.8,0.8,0.6,0,0.525,0.7510025062656641,0.7814536340852131,0.66937343358396,0.8952380952380953,-0.03045112781954895,0.08162907268170416,2,1.0,0.41904761904761906,210
0.8,0.8,0.6,1,0.47,0.7358741469289442,0.7853271778402248,0.692242071457246,0.9229727017262144,-0.049453030911280615,0.04363207547169812,2.0,1,0.5053191489361702,188
0.8,0.8,0.6,2,0.505,0.7918291829182919,0.7950795079507951,0.6905940594059405,0.9295929592959296,-0.0032503250325032207,0.10123512351235131,2.0,1,0.5,202
0.8,0.8,0.6,3,0.5075,0.7693481033232478,0.8080318071566103,0.6531469580655648,0.9241579355354955,-0.038683703833362504,0.11620114525768299,2.0,1,0.43842364532019706,203
0.8,0.8,0.6,4,0.535,0.8117525876796302,0.8530047231434027,0.6451612903225806,0.9363129333735303,-0.04125213546377249,0.16659129735704958,2.5,2.0,0.4485981308411215,214
0.8,0.8,0.6,5,0.4625,0.8048271527341295,0.7876807039597737,0.6871653048397235,0.9221370207416719,0.017146448774355783,0.11766184789440604,3.0,1,0.5135135135135135,185
0.8,0.8,0.6,6,0.4575,0.7956485608521568,0.8271511671828964,0.6615295510060185,0.9162196872403112,-0.031502606330739535,0.13411900984613834,3.0,2,0.5355191256830601,183
0.8,0.8,0.6,7,0.485,0.7835051546391752,0.8346011410269243,0.6695275748173356,0.9295616054449004,-0.05109598638774904,0.11397757982183965,2,2,0.4793814432989691,194
