engine,seq_len,inj_seq,inj_tokens,f,seed,recompute_pct
flashinfer,4000,0.25,1000,0.9,4,28.0
cdc,4000,0.25,1000,0.9,4,21.48
pic_lean,4000,0.25,1000,0.9,4,25.92
vllm_apc,4000,0.5,2000,0.1,0,93.3333
radix,4000,0.5,2000,0.1,0,93.3333
flashinfer,4000,0.5,2000,0.1,0,93.3333
cdc,4000,0.5,2000,0.1,0,33.6833
pic_lean,4000,0.5,2000,0.1,0,38.2667
vllm_apc,4000,0.5,2000,0.1,1,93.3333
radix,4000,0.5,2000,0.1,1,93.3333
flashinfer,4000,0.5,2000,0.1,1,93.3333
cdc,4000,0.5,2000,0.1,1,33.6833
pic_lean,4000,0.5,2000,0.1,1,38.2667
vllm_apc,4000,0.5,2000,0.1,2,93.3333
radix,4000,0.5,2000,0.1,2,93.3333
flashinfer,4000,0.5,2000,0.1,2,93.3333
cdc,4000,0.5,2000,0.1,2,33.8667
pic_lean,4000,0.5,2000,0.1,2,38.2667
vllm_apc,4000,0.5,2000,0.1,3,93.3333
radix,4000,0.5,2000,0.1,3,93.3333
flashinfer,4000,0.5,2000,0.1,3,93.3333
cdc,4000,0.5,2000,0.1,3,33.75
pic_lean,4000,0.5,2000,0.1,3,38.2667
vllm_apc,4000,0.5,2000,0.1,4,93.3333
radix,4000,0.5,2000,0.1,4,93.3333
flashinfer,4000,0.5,2000,0.1,4,93.3333
cdc,4000,0.5,2000,0.1,4,33.4
pic_lean,4000,0.5,2000,0.1,4,38.2667
